"TOA5","44341","CR1000X","44341","CR1000X.Std.06.01","CPU:ICECAPS-MELT.CR1X","40326","sci"
"TIMESTAMP","scantime","PTemp_Avg","batt_volt_Avg","amp_meter_12vdc_Avg","watts_on_12vdc_Avg","vaisala_RH_Avg","vaisala_RH_Std","vaisala_T_Avg","vaisala_T_Std","vaisala_P_Avg","vaisala_P_Std","metek_x_Avg(1)","metek_x_Std(1)","metek_y_Avg(1)","metek_y_Std(1)","metek_z_Avg(1)","metek_z_Std(1)","metek_T_Avg(1)","metek_T_Std(1)","sr30_swu_DegC_Avg","sr30_swu_DegC_Std","sr30_swu_IrrC_Avg","sr30_swu_IrrC_Std","sr30_swu_Irr_Avg","sr30_swu_Irr_Std","sr30_swd_DegC_Avg","sr30_swd_DegC_Std","sr30_swd_IrrC_Avg","sr30_swd_IrrC_Std","sr30_swd_Irr_Avg","sr30_swd_Irr_Std","spn1_tot_Avg","spn1_tot_Std","spn1_dif_Avg","spn1_dif_Std","ir20_lwu_DegC_Avg","ir20_lwu_DegC_Std","ir20_lwu_Wm2_Avg","ir20_lwu_Wm2_Std","ir20_lwu_mV_Avg","ir20_lwu_mV_Std","ir20_lwd_DegC_Avg","ir20_lwd_DegC_Std","ir20_lwd_Wm2_Avg","ir20_lwd_Wm2_Std","ir20_lwd_mV_Avg","ir20_lwd_mV_Std","snowd_current_Avg","snowd_current_Std","snowd_dist_Avg","snowd_dist_Std","apogee_body_T_Avg","apogee_body_T_Std","apogee_targ_T_Avg","apogee_targ_T_Std","fp_A_mV_Avg","fp_A_mV_Std","fp_A_Wm2_Avg","fp_A_Wm2_Std","fp_B_mV_Avg","fp_B_mV_Std","fp_B_Wm2_Avg","fp_B_Wm2_Std","fp_C_mV_Avg","fp_C_mV_Std","fp_C_Wm2_Avg","fp_C_Wm2_Std","sr50_dist_Avg","sr50_dist_Std","sr50_qc_Avg","licor_co2_out_Avg","licor_co2_out_Std","licor_h2o_out_Avg","licor_h2o_out_Std","licor_t_out_Avg","licor_t_out_Std","licor_co2_str_out_Avg","licor_co2_str_out_Std","metek_InclX_Avg(1)","metek_InclY_Avg(1)","sr30_swd_tilt_Avg","sr30_swu_tilt_Avg","sr30_swu_fantach_Avg","sr30_swu_heatA_Avg","sr30_swd_fantach_Avg","sr30_swd_heatA_Avg","ir20_lwu_fan_Avg","ir20_lwd_fan_Avg"
"TS","","degC","V","A","W","%","%","degC","degC","hPa","hPa","m/s","m/s","m/s","m/s","m/s","m/s","degC","degC","degC","degC","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","Wm2","degC","degC","Wm2","Wm2","mV","mV","degC","degC","Wm2","Wm2","mV","mV","mA","mA","m","m","degC","degC","degC","degC","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","mV","mV","Wm2","Wm2","m","m","code","mg/m3","mg/m3","g/m3","g/m3","degC","degC","","","deg","deg","deg","deg","Hz","mA","Hz","mA","mV","mV"
"","Smp","Avg","Avg","Avg","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-05-09 21:01:00",3.988,3.848796,11.72685,5.020419,58.87311,"NAN","NAN",-9.810292,0.01567564,"NAN","NAN",1.6755,0.2446854,2.844167,0.2571454,0.1001667,0.147907,-9.382666,0.06199099,-4.253334,0.004714153,179.1483,4.31594,178.4683,4.301218,-3.981666,0.01950781,215.8467,5.242656,214.845,5.218581,213.1167,5.674919,207.8333,5.515633,-7.007238,0.00122317,274.3074,0.2070476,-0.1191907,0.002412863,-7.500346,0.001156809,257.7779,0.6923127,-0.3044441,0.008593439,38.5,0,0.606,0,-7.664517,0.002020213,-9.931883,0.06788239,0.03195468,0.001724468,0.494578,0.02669043,-0.280334,0.04440083,-4.365893,0.691494,0.1019074,0.001555938,1.655147,0.02527105,1.753333,0.0004713704,194,649.3792,0.1998308,1.955605,0.003456935,-8.816845,0.006976441,97.96414,0.01363949,0.9878333,1.1235,2.902,176.5,161.5,292.7,156.7,292.7,143.1,197.1
"2024-05-09 21:02:00",3.755,3.823858,11.71974,4.927566,57.74985,"NAN","NAN",-9.811086,0.02952738,"NAN","NAN",1.667,0.2545002,2.711,0.2769778,0.1325,0.1609418,-9.329499,0.01123592,-4.256667,0.01699683,191.005,3.140746,190.28,3.123723,-4,0.01914856,230.565,3.907286,229.4933,3.88912,228.45,2.421949,226.45,4.118152,-7.00677,0.0017829,274.8759,0.174734,-0.1125486,0.00197229,-7.49825,0.004103212,259.8588,0.5059208,-0.2787926,0.006123692,38.5,0,0.606,0,-7.6518,0.004958207,-9.79055,0.05523207,0.03213167,0.0007123334,0.4973173,0.01102512,-0.2507707,0.01798124,-3.905478,0.280038,0.1095243,0.001547168,1.778858,0.02512859,1.753333,0.0004713704,193,649.1121,0.1033668,1.959793,0.003277378,-8.813775,0.006388506,97.96178,0.01623818,0.9951666,1.0825,2.883,176.5,161.5,294.5,156.7,294.5,144.1,200.5
"2024-05-09 21:03:00",3.755,3.800486,11.7205,4.884538,57.24928,"NAN","NAN",-9.731232,0.01627621,"NAN","NAN",1.576333,0.2241046,2.840333,0.1748996,0.193,0.1179774,-9.329166,0.02136538,-4.285,0.01384435,201.85,2.078732,201.0817,2.071814,-4.016667,0.01598619,244.495,2.905909,243.3567,2.895425,240.5333,2.994252,240.3,3.27465,-7.001262,0.004092568,275.3817,0.1076565,-0.106893,0.001096593,-7.489014,0.006102651,261.1256,0.1914157,-0.2635887,0.00205825,38.5,0,0.606,0,-7.6293,0.007471809,-9.630183,0.07053647,0.02880575,0.0006246484,0.4458404,0.009667986,-0.2381915,0.01408124,-3.709571,0.2192998,0.1148114,0.001022878,1.864729,0.01661325,1.752667,0.0004714265,195,650.749,0.9064712,1.957032,0.01234094,-8.78693,0.008268154,97.62045,0.1532768,1.048667,1.051833,2.888,176.5,161.5,294,156.7,294,144.3,197.8
"2024-05-09 21:04:00",3.754,3.778483,11.74,4.936366,57.95353,"NAN","NAN",-9.722118,0.03869983,"NAN","NAN",1.593833,0.3307297,3.047333,0.3068353,0.2645,0.2129951,-9.2725,0.02984838,-4.293334,0.009428053,205.5767,0.9455626,204.79,0.9420905,-4.035,0.01499989,250.3033,0.950379,249.1333,0.9448395,248.75,1.45,247.7167,1.456497,-6.992249,0.002843544,275.5332,0.09638397,-0.1055648,0.001072805,-7.474854,0.00427068,260.8957,0.2692474,-0.2671681,0.00352055,38.5,0,0.606,0,-7.603733,0.007618945,-9.59295,0.05563416,0.03270257,0.00175543,0.5061534,0.02716964,-0.2589324,0.01729271,-4.032588,0.2693149,0.1154643,0.0004678893,1.875334,0.007599299,1.752667,0.0004714265,194,649.1188,0.1891781,1.96404,0.004971836,-8.78802,0.005618371,97.90606,0.05746497,0.9668333,1.1405,2.887,176.5,161.5,293,156.7,292.3,143.7,198.2
"2024-05-09 21:05:00",3.755,3.757106,11.72234,4.927407,57.76219,"NAN","NAN",-9.684814,0.0200052,"NAN","NAN",1.656833,0.1578421,3.055833,0.3399743,0.2776667,0.1130983,-9.262166,0.01083833,-4.306667,0.01598612,196.67,4.470713,195.9183,4.45742,-4.025,0.02929732,240.5133,5.29404,239.3917,5.26995,235.6333,6.94758,228.8167,7.794102,-6.982635,0.00432665,275.4087,0.1424939,-0.1075035,0.001881785,-7.458486,0.007343493,258.9558,0.8096247,-0.2920268,0.01035067,38.5,0,0.606,0,-7.582083,0.00458165,-9.652984,0.05202703,0.03431606,0.0005496586,0.5311262,0.008507343,-0.2471886,0.02233119,-3.84969,0.3477838,0.1160577,0.000510434,1.884971,0.008290323,1.754333,0.0009427969,183,649.0571,0.1730808,1.965783,0.001948025,-8.783058,0.001655496,97.95874,0.01610025,1.006,1.125833,2.9,176.5,161.5,294.7,156.7,294.7,143.3,199.3
"2024-05-09 21:06:00",3.754,3.735799,11.72584,4.94741,58.01271,"NAN","NAN",-9.70459,0.0172482,"NAN","NAN",1.832333,0.2076308,3.104,0.2772447,0.2145,0.0523824,-9.228833,0.02274796,-4.323333,0.02285211,178.345,5.237459,177.66,5.218311,-4.048333,0.01572325,218.3933,6.407916,217.3717,6.375249,215.6667,4.298324,211.7667,3.537733,-6.97521,0.002977024,274.879,0.1859305,-0.1140832,0.002303765,-7.44634,0.004566354,255.8862,0.8660259,-0.3306486,0.01088915,38.5,0,0.606,0,-7.576216,0.002183649,-9.789666,0.0682173,0.03899979,0.003024369,0.6036185,0.0468096,-0.3245308,0.06220578,-5.054209,0.9687866,0.1122605,0.003366584,1.823298,0.05467897,1.754667,0.0004714265,181,649.0095,4.55089,1.937933,0.03627562,-8.809985,0.01878184,97.54094,0.1612737,1.038667,1.046167,2.907,176.5,161.5,293.2,156.7,293.2,142.6,198.1
"2024-05-09 21:07:00",3.761,3.714274,11.72572,4.975628,58.34179,"NAN","NAN",-9.668437,0.0193592,"NAN","NAN",1.967833,0.1446172,3.470333,0.3475248,0.2946666,0.195913,-9.193,0.01719502,-4.386667,0.03091212,162.82,3.600039,162.1883,3.589697,-4.111667,0.0219215,199.3667,4.424358,198.425,4.403477,200.2333,4.07581,198.8333,4.943572,-6.969854,0.001068176,274.19,0.2335425,-0.1224271,0.002760677,-7.438863,0.002698041,253.346,0.6195745,-0.3624746,0.007659737,38.5,0,0.606,0,-7.594017,0.00762506,-9.973066,0.05140402,0.05844081,0.005583008,0.9045165,0.08641089,-0.3640666,0.008023382,-5.669936,0.1249553,0.09938731,0.002830931,1.614216,0.04597905,1.752833,0.0006871826,192,649.5868,0.33545,1.960722,0.004302761,-8.893603,0.02075774,97.90886,0.05026015,1.031333,1.123667,2.868,176.5,161.5,293.8,156.7,293.8,143.6,196.6
"2024-05-09 21:08:00",3.763,3.691066,11.7097,4.929414,57.72071,"NAN","NAN",-9.703217,0.04129226,"NAN","NAN",1.8655,0.1991094,2.922833,0.3155727,0.2445,0.1497317,-9.211667,0.03046669,-4.478333,0.02793841,152.035,2.784306,151.4367,2.77404,-4.22,0.04000002,186.01,3.452788,185.1183,3.439535,188.0167,4.754791,185.85,5.402392,-6.97437,0.001964332,273.3896,0.1925854,-0.1315853,0.002191317,-7.444941,0.004510047,250.9152,0.7344045,-0.3922476,0.008897864,38.5,0,0.606,0,-7.619717,0.007582344,-10.15205,0.07466085,0.06501355,0.001952363,1.006246,0.03021765,-0.3226844,0.03095895,-5.025454,0.4821515,0.09368537,0.001807196,1.521607,0.0293519,1.7525,0.0005000233,194,649.2757,0.1489669,1.962937,0.002395083,-8.919765,0.008189838,97.95208,0.01409177,1.044,1.051167,2.892,176.5,161.5,294.2,156.8,293.8,144.2,201.5
"2024-05-09 21:09:00",3.763,3.665136,11.7239,4.884688,57.26773,"NAN","NAN",-9.749766,0.0207769,"NAN","NAN",2.141166,0.3329842,3.521666,0.3625276,0.1383333,0.1782598,-9.208166,0.03907863,-4.558333,0.02910705,143.1667,1.953482,142.595,1.950807,-4.316667,0.04068841,174.885,2.554801,174.035,2.54484,176.4166,2.621971,174.5667,2.251418,-6.98381,0.003430559,272.7501,0.1481186,-0.138614,0.001693177,-7.453929,0.004772682,248.8444,0.395345,-0.4174165,0.004765384,40.2,2.404162,0.6076667,0.00235702,-7.658517,0.01395563,-10.32092,0.05682118,0.0682615,0.004073454,1.056516,0.0630468,-0.404156,0.02577866,-6.294285,0.4014742,0.08399549,0.003862348,1.364228,0.06273102,1.752833,0.0003726954,195,649.3192,0.9017014,1.96101,0.01195109,-8.984362,0.03019444,97.93404,0.05452512,1.010333,1.165667,2.925,176.5,161.5,293.7,156.8,293.3,143.1,196.7
"2024-05-09 21:10:00",3.763,3.635513,11.72213,4.921164,57.68636,"NAN","NAN",-9.736511,0.006616522,"NAN","NAN",2.3155,0.1542647,3.616166,0.1864782,0.1978333,0.1678287,-9.189833,0.03766702,-4.66,0.03415649,140.8183,1.148457,140.2483,1.143905,-4.438333,0.0353161,171.1217,1.137826,170.275,1.128932,170.2667,0.8137691,167.6,1.600001,-6.996948,0.003847152,272.3951,0.1322703,-0.142123,0.001377445,-7.468846,0.003264402,247.4974,0.4192499,-0.4333235,0.005034051,43.6,0,0.611,0,-7.714417,0.01791327,-10.4856,0.08452811,0.0871248,0.004394638,1.348473,0.0680179,-0.3988724,0.02669474,-6.211998,0.415741,0.07412567,0.001648145,1.203925,0.02676863,1.753,0,194,648.4133,2.086812,1.951693,0.01036523,-9.086618,0.02188796,97.96685,0.01724547,1.034667,1.147,2.883,176.5,161.6,294.2,156.9,294.2,144.2,198.4
"2024-05-09 21:11:00",3.764,3.602005,11.68917,4.942506,57.77361,"NAN","NAN",-9.826823,0.007380769,"NAN","NAN",2.286667,0.2813607,3.411,0.3283179,0.1926667,0.133905,-9.196834,0.04049452,-4.763333,0.03901571,150.0233,2.929694,149.405,2.914532,-4.585,0.03862196,181.6066,3.548004,180.69,3.527617,178.2667,3.135106,173.7333,3.383622,-7.011774,0.005562198,272.124,0.0985679,-0.1445638,0.001323185,-7.488358,0.007797002,246.9373,0.1179627,-0.439257,0.001820061,43.6,0,0.611,0,-7.777016,0.01701663,-10.57427,0.05908996,0.09381602,0.000993443,1.452036,0.015376,-0.3303786,0.02210541,-5.145282,0.3442674,0.07552514,0.001614737,1.226655,0.02622604,1.753,0,196,649.7745,0.442064,1.955258,0.005628033,-9.130666,0.006875685,97.91263,0.09118244,1.041167,1.100333,2.897,176.5,161.6,294,157,294,140.5,198.6
"2024-05-09 21:12:00",3.764,3.565343,11.71949,4.870098,57.07549,"NAN","NAN",-9.807465,0.02377045,"NAN","NAN",2.180333,0.1135557,3.3105,0.1889212,0.3205,0.118114,-9.209,0.03909376,-4.866666,0.0280871,155.6767,1.252791,155.0233,1.242239,-4.695,0.03095695,189.1167,1.819282,188.1533,1.807483,186.65,2.395655,184.6333,3.585469,-7.029058,0.005194131,272.1534,0.08635387,-0.1433602,0.001130714,-7.505035,0.006127222,247.732,0.4097643,-0.4285647,0.005348323,43.6,0,0.611,0,-7.836816,0.01590502,-10.54002,0.02360022,0.09158603,0.0005886546,1.417521,0.009110876,-0.3072571,0.01079801,-4.785191,0.1681671,0.07818512,0.0001592483,1.269857,0.002586456,1.752667,0.0004714265,193,649.6843,0.161352,1.948658,0.00524393,-9.158716,0.007319554,97.94165,0.03597556,1.028333,1.176333,2.878,176.5,161.6,293.8,157.1,293.8,140.6,195.6
